product,vendor,network,category,publish_date,publish_hour,launch_date,review_type,traffic_source,target_keyword,article_url,linkedin_views,linkedin_reactions,linkedin_comments,medium_reads,website_visits,pinterest_clicks,x_clicks,affiliate_clicks,sales,conversion_rate,commission,revenue,hours_invested,created_at
Effortless eCovers,Mark Hess,warriorplus,AI design tool,2026-06-23,,,Review,linkedin,,,,,,,,,,,,,,,1,
TrafficWave Generator 3.0,Demetris Papadopoulos,warriorplus,AI traffic tool,2026-06-23,,,Review,linkedin,,,,,,,,,,,,,,,1,
AI Agent Empire,Alessandro Zamboni,warriorplus,AI course,2026-06-23,,2026-06-09,Review,linkedin,,,,,,,,,,,,,,,1,
The Top G Traffic Method,James Renouf,warriorplus,traffic course,2026-06-23,,2026-06-19,Review,linkedin,,,,,,,,,,,,,,,1,
The Smoothie Diet,Drew Sgoutas,clickbank,health,2026-06-23,,,Review,linkedin,,,,,,,,,,,,,,,1.5,
The Smoothie Diet,Drew Sgoutas,clickbank,health,2026-06-23,,,Review,medium,,,,,,,,,,,,,,,0.5,
School Posters Empire,Alessandro Zamboni,warriorplus,AI prompts PLR,2026-06-23,,2026-06-22,Review,linkedin,,,,,,,,,,,,,,,1,
Anti-Looter Kit,Jason Hanson,digistore24,home security,2026-06-23,,,Review,linkedin,,,,,,,,,,,,,,,1,
Anti-Looter Kit,Jason Hanson,digistore24,home security,2026-06-23,,,Review,medium,,,,,,,,,,,,,,,0.5,
Vidicom,Teknikforce,jvzoo,AI video SaaS,2026-07-05,,,Review,linkedin,,,,,,,,,,,,,,,1,
Systeme.io,Systeme.io,direct,SaaS all-in-one,2026-07-08,,,Review,linkedin,,,,,,,,,,,,,,,1,
ClickFunnels vs Systeme.io,Systeme.io,direct,SaaS all-in-one,2026-07-09,,,Comparison,linkedin,,,,,,,,,,,,,,,1,
Instant Custom GPT System,Mark Hess,warriorplus,AI prompts tool,2026-07-10,,,Review,linkedin,,,,,,,,,,,,,,,1,
Instant Custom GPT System,Mark Hess,warriorplus,AI prompts tool,2026-07-10,,,Review,medium,,,,,,,,,,,,,,,0.5,
BrowserAgent,Abhi Dwivedi,jvzoo,AI browser agent,2026-07-11,,,Review,linkedin,browseragent review,https://www.linkedin.com/pulse/browseragent-review-2026-37-ai-browses-web-you-genuinely-emad-selim-yfupe,,,,,,,,,,,,,1,
10 Products Roundup,,mixed,roundup,2026-07-12,,,Roundup,linkedin,,,,,,,,,,,,,,,1,
Faceless Empire,PLR Monster,warriorplus,PLR package,2026-07-14,,2026-07-14,Review,linkedin,faceless empire review,https://www.linkedin.com/pulse/faceless-empire-review-2026-995-plr-package-one-thing-emad-selim-etcee,,,,,,,,,,,,,1,
HolyInk AI,Cindy Donovan,warriorplus,AI writing SaaS,2026-07-15,,,Review,linkedin,,,,,,,,,,,,,,,1,
CommissionOS,,warriorplus,CPA tool,2026-07-16,,,Review,linkedin,commissionos review,https://www.linkedin.com/pulse/commissionos-review-2026-ai-cpa-tool-does-90-work-10-actually-selim-dzece,,,,,,,,,,,,,1,
CommissionOS,,warriorplus,CPA tool,2026-07-16,,,Review,medium,,,,,,,,,,,,,,,0.5,
GoBeaver AI,Andrew Fox,jvzoo,AI ad spy tool,2026-07-22,,2025-05-13,Review,linkedin,gobeaver ai review,https://www.linkedin.com/pulse/gobeaver-ai-review-2026-spy-clone-competitor-ads-tool-emad-selim-bmfwf,,,,,,,,,,,,,1,
The Self-Sufficient Backyard,Ron Melchiore,digistore24,homesteading book,2026-07-23,,,Review,linkedin,,,,,,,,,,,,,,,1,
True Crime Vault,Alessandro Zamboni,warriorplus,AI writing prompts,2026-07-24,,,Review,linkedin,true crime vault review,https://www.linkedin.com/pulse/true-crime-vault-review-2026-clever-fix-ais-biggest-flaw-emad-selim-d8tgf,,,,,,,,,,,,,1,
AI Reader Rocket,Andreas Quintana,warriorplus,KDP author tool,2026-07-25,,2026-07-21,Review,linkedin,ai reader rocket review,https://www.linkedin.com/pulse/ai-reader-rocket-review-2026-genuinely-useful-27-tool-emad-selim-eciff,,,,,,,,,,,,,1,
